store_id,trade_name,business_legal_name,street_address,city,state,zip5,business_id,license_start_date,naics_code,naics_description,city_account_number,note
BID|PR0089583,UG TEA - BELLEVUE,UG TEA - BELLEVUE,308 105TH AVE NE,BELLEVUE,WA,98004,PR0089583,2020-01-01,,,,manual_override_rebrand
BID|PR0091672,MAURITIUS BROWN BUBBLE TEA,MAURITIUS BROWN BUBBLE TEA,18151 68TH AVE NE STE 101,KENMORE,WA,98028,PR0091672,2020-01-01,,,,user_check_add_mauritius
BID|PR0089620,DONT YELL AT ME,DONT YELL AT ME,12655 120TH AVE NE SUITE 190,KIRKLAND,WA,98034,PR0089620,2020-01-01,,,,user_check_override_location
BID|PR0091619,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,9712 NE 119TH WAY,KIRKLAND,WA,98034,PR0091619,2020-01-01,,,,user_check_override_name
MANUAL|TEAFAIRY_TEA_HOUSE_REDMOND_98052,TEAFAIRY TEA HOUSE,TEAFAIRY TEA HOUSE,2709 152ND AVE NE,REDMOND,WA,98052,,,,,,user_check_add_teafairy
BID|PR0088857,DIY TEA LAB - NEWCASTLE,DIY TEA LAB - NEWCASTLE,6973 COAL CREEK PKWY SE,NEWCASTLE,WA,98059,PR0088857,2020-01-01,,,,user_check_override_name_zip_verified
MANUAL|CHOO_TEA_BELLEVUE_98004,CHOO TEA BELLEVUE,CHOO TEA BELLEVUE,155 108TH AVE NE #101,BELLEVUE,WA,98004,,,,,,carry_over_existing_manual
,MATCHA MAGIC,MATCHA MAGIC,10246 MAIN ST A,BELLEVUE,WA,98004,PR0033930,2025-04-29,,,,include_22_requested_candidates
MANUAL|TEEWS_BAKERY_BELLEVUE_98008,TEEWS BAKERY,TEEWS BAKERY,15600 NE 8TH ST STE H7,BELLEVUE,WA,98008,,,,,,carry_over_existing_manual
,BOBALUST,BOBALUST,116 SW 148TH ST,BURIEN,WA,98166,PR0065136,2021-10-07,,,,include_22_requested_candidates
,BOBALUST,BOBALUST,1770 S 320th ST,FEDERAL WAY,WA,98003,PR0079741,2020-09-24,,,,include_22_requested_candidates
,BOBALUST,BOBALUST,12950 SE KENT KANGLEY RD,KENT,WA,98030,PR0086164,2019-12-11,,,,include_22_requested_candidates
,DRIP TEA,DRIP TEA,1313 W MEEKER ST STE 221,KENT,WA,98032,PR0091742,2024-08-12,,,,include_22_requested_candidates
,BOBALUST,BOBALUST,6617 132ND AVE NE,KIRKLAND,WA,98033,PR0072295,2021-08-06,,,,include_22_requested_candidates
,TRA TEA & JUICE BAR,TRA TEA & JUICE BAR,211 PARK LN,KIRKLAND,WA,98033,PR0088632,2021-07-29,,,,include_22_requested_candidates
,MATCHA MAGIC,MATCHA MAGIC,7705 168TH AVE NE,REDMOND,WA,98052,PR0090810,2025-05-12,,,,include_22_requested_candidates
,TRA TEA & JUICE BAR,TRA TEA & JUICE BAR,1133 LAKE WASHINGTON BL N #83,RENTON,WA,98056,PR0089105,2021-08-06,,,,include_22_requested_candidates
