shop_key,trade_name,business_legal_name,naics_code,naics_description,license_start_date,license_start_year,street_address,city,state,zip5,business_id,city_account_number,match_boba_keyword,match_brand_keyword,match_taxonomy_keyword,source_dataset
BID|PR0089601,ANGEL BOBA & SANDWICHES,ANGEL BOBA & SANDWICHES,,ANGEL BOBA & SANDWICHES,2021-07-12,2021.0,2 B ST SE,AUBURN,WA,98002,PR0089601,,True,False,True,king_county_inspections
BID|PR0091675,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2024-09-25,2024.0,4220 A ST SE #108,AUBURN,WA,98002,PR0091675,,False,True,True,king_county_inspections
BID|PR0079741,BOBALUST,BOBALUST,,BOBALUST,2020-09-24,2020.0,1770 S 320th ST,FEDERAL WAY,WA,98003,PR0079741,,False,False,True,king_county_inspections
BID|PR0088039,MELODY BOBA HOUSE,MELODY BOBA HOUSE,,MELODY BOBA HOUSE,2023-06-21,2023.0,31406 PACIFIC HWY S STE A,FEDERAL WAY,WA,98003,PR0088039,,True,False,True,king_county_inspections
BID|PR0091422,SUNRIGHT TEA STUDIO,SUNRIGHT TEA STUDIO,,SUNRIGHT TEA STUDIO,2024-02-14,2024.0,32225 PACIFIC HWY S STE 103,FEDERAL WAY,WA,98003,PR0091422,,False,True,True,king_county_inspections
BID|PR0089923,CHICHA SAN CHEN,CHICHA SAN CHEN,,CHICHA SAN CHEN,2025-07-11,2025.0,400 BELLEVUE SQ STE 188,BELLEVUE,WA,98004,PR0089923,,False,False,True,king_county_inspections
BID|PR0092784,CHOO TEA,CHOO TEA,,CHOO TEA,2025-09-29,2025.0,155 108th AVE NE 101,BELLEVUE,WA,98004,PR0092784,,False,False,True,king_county_inspections
MANUAL|CHOO_TEA_BELLEVUE_98004,CHOO TEA BELLEVUE,CHOO TEA BELLEVUE,,,,,155 108TH AVE NE #101,BELLEVUE,WA,98004,,,True,True,True,manual_additions
BID|PR0081538,COCO FRESH TEA & JUICE,COCO FRESH TEA & JUICE,,COCO FRESH TEA & JUICE,2017-12-07,2017.0,11028 NE 8TH ST,BELLEVUE,WA,98004,PR0081538,,False,True,True,king_county_inspections
BID|PR0091982,DON'T YELL AT ME,DON'T YELL AT ME,,DON'T YELL AT ME,2024-10-21,2024.0,550 106TH AVE STE 150,BELLEVUE,WA,98004,PR0091982,,False,False,True,king_county_inspections
BID|PR0077019,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2024-09-26,2024.0,1031 BELLEVUE SQUARE,BELLEVUE,WA,98004,PR0077019,,False,True,True,king_county_inspections
BID|PR0089077,HEY TEA,HEY TEA,,HEY TEA,2024-08-09,2024.0,700 110th AVE NE STE 192,BELLEVUE,WA,98004,PR0089077,,False,True,True,king_county_inspections
BID|PR0083744,MACU TEA,MACU TEA,,MACU TEA,2025-03-31,2025.0,10435 NE 4TH ST STE L,BELLEVUE,WA,98004,PR0083744,,False,True,True,king_county_inspections
BID|PR0033930,MATCHA MAGIC,MATCHA MAGIC,,MATCHA MAGIC,2025-04-29,2025.0,10246 MAIN ST A,BELLEVUE,WA,98004,PR0033930,,False,False,True,king_county_inspections
BID|PR0088717,MOLLY TEA,MOLLY TEA,,MOLLY TEA,2025-10-01,2025.0,103 BELLEVUE WAY NE #102,BELLEVUE,WA,98004,PR0088717,,False,True,True,king_county_inspections
BID|PR0091922,OMO Thai Tea,OMO Thai Tea,,OMO Thai Tea,2025-06-05,2025.0,10226 NE 10th ST,BELLEVUE,WA,98004,PR0091922,,True,False,False,king_county_inspections
BID|PR0089583,UG TEA - BELLEVUE,UG TEA - BELLEVUE,,,2020-01-01,2020.0,308 105TH AVE NE,BELLEVUE,WA,98004,PR0089583,,True,True,True,manual_additions
BID|PR0088150,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2024-09-23,2024.0,1645 140TH AVE NE B 008,BELLEVUE,WA,98005,PR0088150,,False,True,True,king_county_inspections
BID|PR0092398,YOUNG TEA,YOUNG TEA,,YOUNG TEA,2025-04-14,2025.0,13433 NE 20TH ST STE J,BELLEVUE,WA,98005,PR0092398,,False,False,True,king_county_inspections
BID|PR0081977,T4 TEA FOR U,T4 TEA FOR U,,T4 TEA FOR U,2025-08-12,2025.0,4056 FACTORIA MALL SE,BELLEVUE,WA,98006,PR0081977,,False,True,False,king_county_inspections
BID|PR0087952,DRINK T,DRINK T,,DRINK T,2023-03-02,2023.0,14509 NE 20TH ST STE C,BELLEVUE,WA,98007,PR0087952,,False,False,True,king_county_inspections
BID|PR0077115,NAN NOODLE & MOGE TEE,NAN NOODLE & MOGE TEE,,NAN NOODLE & MOGE TEE,2019-08-27,2019.0,14220 NE 20TH ST STE A,BELLEVUE,WA,98007,PR0077115,,False,False,True,king_county_inspections
BID|PR0087973,TIMELESS TEA DESSERT CAFE,TIMELESS TEA DESSERT CAFE,,TIMELESS TEA DESSERT CAFE,2023-02-09,2023.0,14320 NE 20TH ST STE D,BELLEVUE,WA,98007,PR0087973,,False,False,True,king_county_inspections
BID|PR0026200,BOBA EXPRESS,BOBA EXPRESS,,BOBA EXPRESS,2021-11-29,2021.0,15600 NE 8TH ST PM3,BELLEVUE,WA,98008,PR0026200,,True,False,False,king_county_inspections
MANUAL|TEEWS_BAKERY_BELLEVUE_98008,TEEWS BAKERY,TEEWS BAKERY,,,,,15600 NE 8TH ST STE H7,BELLEVUE,WA,98008,,,True,True,True,manual_additions
BID|PR0088718,SHARETEA BOTHELL,SHARETEA BOTHELL,,SHARETEA BOTHELL,2025-03-11,2025.0,18931 BOTHELL WAY NE,BOTHELL,WA,98011,PR0088718,,False,True,True,king_county_inspections
BID|PR0087843,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,,BOBAE COFFEE & TEA,2024-04-16,2024.0,240 NW GILMAN BL STE 5,ISSAQUAH,WA,98027,PR0087843,,False,True,True,king_county_inspections
BID|PR0049678,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2024-09-20,2024.0,1171 NW SAMMAMISH RD ,ISSAQUAH,WA,98027,PR0049678,,False,True,True,king_county_inspections
BID|PR0090952,Timeless Tea Dessert Cafe,Timeless Tea Dessert Cafe,,Timeless Tea Dessert Cafe,2023-04-26,2023.0,1580 NW GILMAN BL UNIT D5,ISSAQUAH,WA,98027,PR0090952,,False,False,True,king_county_inspections
