zip5,population,median_income,young_adult_share,median_gross_rent,median_home_value
00601,16721,18571,0.0570540039471323,414.0,89500.0
00602,37510,21702,0.0611836843508397,465.0,108200.0
00603,48317,19243,0.0627108471138522,448.0,141800.0
00606,5435,20226,0.0349586016559337,405.0,100700.0
00610,25413,23732,0.0661472474717664,553.0,113600.0
00611,1522,22566,0.0545335085413929,471.0,100300.0
00612,62462,23831,0.0622138260062117,503.0,112300.0
00616,9836,21391,0.0612037413582757,623.0,102700.0
00617,22699,22010,0.0675800696065906,625.0,121400.0
00622,7950,26682,0.0591194968553459,609.0,115400.0
00623,39005,25614,0.0646327393923855,576.0,118200.0
00624,21374,21091,0.0647983531393281,530.0,88100.0
00627,32753,26094,0.0644521112569841,574.0,105500.0
00631,1357,18295,0.0353721444362564,336.0,102900.0
00636,1071,-666666666,0.1363211951447245,385.0,131700.0
00637,22884,20665,0.0590805803181262,445.0,99200.0
00638,17410,20878,0.0564043653072946,404.0,94500.0
00641,23962,17839,0.0599282196811618,464.0,101900.0
00646,36099,33184,0.0681736336186598,688.0,156900.0
00647,4611,20357,0.0596399913250921,433.0,87500.0
00650,13457,19811,0.0830794382105967,662.0,104100.0
00652,4492,31653,0.089047195013357,733.0,128500.0
00653,8665,15225,0.089671090594345,326.0,80400.0
00656,17815,21511,0.0607353353915239,435.0,84900.0
00659,37203,27297,0.0630863102437975,598.0,130000.0
00660,15439,24829,0.070924282660794,558.0,115200.0
00662,40705,20673,0.0659869794865495,555.0,122300.0
00664,14816,18065,0.054670626349892,483.0,105500.0
00667,23116,18729,0.063332756532272,492.0,103300.0
00669,27534,19198,0.0634488269049175,496.0,102700.0
00670,8553,16278,0.0657079387349468,355.0,89600.0
00674,39288,20039,0.0642435349216045,551.0,115300.0
00676,36836,21230,0.0736507764143772,506.0,116500.0
00677,15432,24746,0.053784344219803,626.0,154600.0
00678,24848,22994,0.0592401802962009,525.0,109600.0
00680,42817,17857,0.091856038489385,463.0,101300.0
00682,29939,18067,0.1449948228063729,448.0,116800.0
00683,29431,18231,0.0647276681050593,466.0,100600.0
00685,40323,17909,0.0592465838355281,470.0,110000.0
00687,28534,23010,0.0685848461484544,572.0,113800.0
00688,10985,18014,0.0797451069640418,546.0,99500.0
00690,6275,24386,0.0957768924302788,595.0,139500.0
00692,32717,25486,0.0679157624476571,667.0,136500.0
00693,55725,24072,0.0647285778375953,600.0,117900.0
00694,125,15938,0.0,1100.0,200000.0
00698,32945,21921,0.0605251176202762,521.0,99100.0
00703,24642,22147,0.0663907150393636,461.0,129800.0
00704,6433,23330,0.0823876884812684,645.0,95500.0
00705,24475,21806,0.0567517875383043,505.0,120700.0
00707,10400,19173,0.0416346153846153,498.0,106300.0
00714,15573,18931,0.0620304372953188,466.0,95200.0
00715,2003,15743,0.055416874687968,671.0,80000.0
00716,27705,19522,0.0639595740841003,511.0,119800.0
00717,14651,13282,0.0865469933792915,492.0,111000.0
00718,23174,21481,0.0632173988090101,525.0,105700.0
00719,29732,21089,0.0633997040226019,484.0,105900.0
00720,20974,19049,0.0667016305902546,482.0,96200.0
00723,15835,23599,0.0563940637827597,515.0,89000.0
00725,76246,27505,0.0694069197072633,558.0,139900.0
00727,53412,33403,0.0609788062607653,821.0,147800.0
00728,37322,20351,0.069101334333637,517.0,108500.0
00729,47653,28765,0.0637945145111535,606.0,117500.0
00730,31976,18077,0.0643607705779334,496.0,100700.0
00731,10221,16917,0.0638880735740142,426.0,86800.0
00735,11159,23009,0.0649699793888341,522.0,110400.0
00736,45528,28652,0.0683096116675452,546.0,142300.0
00738,29797,25365,0.0675235761989462,617.0,118800.0
00739,34595,26801,0.0619453678277207,547.0,138400.0
00740,1959,23173,0.0474732006125574,531.0,103600.0
00741,3733,25827,0.0586659523171711,633.0,95600.0
00745,47077,26980,0.0668479299870425,580.0,129800.0
00751,19596,20947,0.0617472953664013,449.0,89600.0
00754,36822,21193,0.0634403345825865,552.0,115000.0
00757,19974,23350,0.07139281065385,486.0,106400.0
00765,8147,17531,0.054989566711673,424.0,113100.0
00766,21829,24906,0.0691282239223052,519.0,102900.0
00767,30453,21414,0.0632450004925623,500.0,96600.0
00769,33953,20514,0.0520425293788472,518.0,103600.0
00771,35165,25662,0.0700981089151144,493.0,120700.0
00772,16961,18408,0.0632627793172572,439.0,99600.0
00773,17631,23769,0.0703306675741591,532.0,125200.0
00775,1281,27614,0.1186572989851678,548.0,168200.0
00777,37243,28175,0.0704293424267647,589.0,116800.0
00778,40391,39564,0.0679111683295783,674.0,160200.0
00780,13612,26483,0.0927857772553629,745.0,121500.0
00782,18397,17090,0.0597380007609936,490.0,107800.0
00783,34266,24429,0.0640284830444172,527.0,118300.0
00784,35405,20347,0.0743397825165937,443.0,104000.0
00786,135,-666666666,0.1925925925925926,1100.0,200000.0
00791,45912,25925,0.0614436312946506,526.0,120000.0
00794,28450,22128,0.0712829525483304,504.0,119800.0
00795,43212,23391,0.0640099972229936,522.0,102200.0
00901,6762,25810,0.0514640638864241,646.0,386900.0
00906,46,-666666666,0.0,1100.0,200000.0
00907,15911,42116,0.0429891270190434,1020.0,323600.0
00909,5466,26066,0.0362239297475301,719.0,199100.0
00911,7430,44008,0.0462987886944818,740.0,384900.0
00912,6219,29418,0.0866698826177842,698.0,139600.0
00913,6700,6229,0.0770149253731343,268.0,431000.0
00915,24484,14502,0.0689429831726842,517.0,109600.0
00917,18216,19516,0.0562692138779095,558.0,124800.0
00918,16379,36872,0.0709445021063557,628.0,216600.0
00920,16403,29914,0.0541364384563799,753.0,151000.0
00921,34197,21797,0.076702634734041,605.0,147800.0
00923,24826,18482,0.077539676145976,517.0,114600.0
00924,47800,22433,0.0633263598326359,537.0,136800.0
00925,4777,14940,0.1496755285744191,581.0,142900.0
00926,93308,39543,0.0732841771337934,717.0,189400.0
00927,13675,39838,0.0653747714808044,543.0,223000.0
00934,80,-666666666,0.0,1100.0,200000.0
00949,66714,33380,0.0637647270437989,724.0,141900.0
00950,0,-666666666,,1100.0,200000.0
00951,399,22222,0.0601503759398496,573.0,87100.0
00952,8488,21960,0.0898916116870876,521.0,117800.0
00953,66475,33888,0.0731553215494546,752.0,154600.0
00956,67050,28674,0.0672334079045488,645.0,134800.0
00957,40357,29663,0.0707188344029536,680.0,136600.0
00959,46409,31400,0.0692107134392036,666.0,149700.0
00960,3340,-666666666,0.0754491017964071,1100.0,200000.0
00961,28891,37015,0.0627877193589699,736.0,165200.0
00962,19213,20134,0.0730234736896892,537.0,118700.0
00965,5886,16516,0.064050288820931,538.0,102200.0
00966,17715,56421,0.0629410104431272,1095.0,286200.0
00968,3488,60353,0.0361238532110091,1027.0,206900.0
00969,41619,58205,0.0507220259977414,963.0,250900.0
00971,25499,32098,0.0683948390132946,651.0,161600.0
00976,61306,38087,0.0638599810785241,605.0,161200.0
00979,15597,35521,0.0677053279476822,990.0,189100.0
00982,13839,26550,0.0825204133246621,706.0,139400.0
00983,31583,33930,0.0592090681695849,601.0,156400.0
00985,31783,35012,0.0678035427744391,554.0,144900.0
00987,55039,40295,0.0684060393539126,778.0,151400.0
01001,16136,71924,0.0539167079821517,1305.0,270300.0
01002,24726,69411,0.2803931084688182,1561.0,449000.0
01003,12458,-666666666,0.4048803981377428,2667.0,200000.0
01005,4786,97390,0.0789803593815294,1603.0,328500.0
01007,15406,99056,0.0540049331429313,1301.0,350400.0
01008,1324,90625,0.0332326283987915,954.0,279500.0
01009,790,70763,0.0,1305.0,275800.0
01010,3694,101477,0.0422306442880346,786.0,379700.0
01011,1205,87012,0.0481327800829875,1134.0,280900.0
01012,387,75526,0.0077519379844961,895.0,350000.0
01013,22950,64039,0.071677559912854,1005.0,249300.0
01020,30230,70971,0.0569632815084353,1153.0,259100.0
01022,2045,56307,0.0337408312958435,1878.0,169700.0
01026,1005,98438,0.0686567164179104,1023.0,283600.0
01027,17678,73657,0.0625636384206358,1195.0,348300.0
01028,16283,100997,0.0560093348891481,1229.0,344100.0
01029,652,99188,0.0414110429447852,2479.7,469400.0
01030,12374,92485,0.0688540488120252,1124.0,315900.0
01031,1715,58125,0.0443148688046647,1164.0,237700.0
01032,503,79583,0.05168986083499,1281.0,319200.0
01033,6088,110188,0.0484559789750328,2754.7000000000003,319600.0
01034,2100,103603,0.0457142857142857,1804.0,331300.0
01035,5299,117580,0.0537837327797697,1682.0,453300.0
01036,4937,110703,0.0354466275065829,2767.5750000000003,345200.0
01037,486,84022,0.0473251028806584,2100.5499999999997,408600.0
01038,2534,112083,0.0615627466456195,1458.0,450200.0
01039,1660,115114,0.0102409638554216,1513.0,413800.0
01040,37949,51892,0.0591056417823921,1016.0,255300.0
01050,2573,96328,0.0536338904003109,1302.0,282400.0
01053,2033,88646,0.0713231677324151,1677.0,345600.0
01054,1704,113750,0.0269953051643192,1339.0,444700.0
01056,20846,78981,0.0787681089897342,1250.0,303900.0
01057,8200,90436,0.0402439024390243,880.0,312100.0
01060,15237,75077,0.0643827525103366,1460.0,427100.0
01062,9188,87800,0.0388550282977797,1016.0,389000.0
01063,2121,250001,0.4879773691654879,4200.0,1125004.5
01066,115,-666666666,0.0,1100.0,409100.0
01068,1623,96207,0.044362292051756,1208.0,379600.0
