store_id,brand_id,brand,primary_beverage_category,shop_name_input,zip5_input,query_text,place_id,matched_place_name,matched_formatted_address,matched_google_url,website_url,google_rating,google_user_ratings_total,google_price_level,review_snippet_count,extracted_review_rows,find_status,details_status,fetch_ok,error
BID|PR0091735,32_below_bubble_tea,32 Below Bubble Tea,MilkTea,32 BELOW SOFT SERVE + BUBBLE TEA,98058,"32 BELOW SOFT SERVE + BUBBLE TEA, 17054 116TH AVE SE, RENTON, WA, 98058",ChIJX0m-TuJdkFQRyj_Tl1Wmt4g,32 Below Soft Serve & Bubble Tea,"17054 116th Ave SE, Renton, WA 98058, United States",https://maps.google.com/?cid=9851525596445884362,https://www.32belowsoftserve.com/,4.6,97.0,1.0,5,5,OK,OK,1,
BID|PR0089601,angel_boba,Angel Boba,MilkTea,ANGEL BOBA & SANDWICHES,98002,"ANGEL BOBA & SANDWICHES, 2 B ST SE, AUBURN, WA, 98002",ChIJZfyrSlFZkFQRFkK2X7ceuJc,Angel Boba & Sandwich,"2 B Street Southeast, Auburn, WA 98002, United States",https://maps.google.com/?cid=10932521868375507478,https://angelboba-sandwich.com/?utm_source=google,4.6,129.0,,5,5,OK,OK,1,
BID|PR0091879,boba_house,Boba House,MilkTea,BOBA HOUSE,98125,"BOBA HOUSE, 14359 15TH AVE NE, SEATTLE, WA, 98125",ChIJaSHoqvsRkFQRTyl-5aOX_v4,Boba House,"14359 15th Ave NE, Seattle, WA 98125, United States",https://maps.google.com/?cid=18374290259903916367,https://www.clover.com/online-ordering/boba-house-seattle,4.6,135.0,1.0,5,5,OK,OK,1,
BID|PR0088039,boba_house,Boba House,MilkTea,MELODY BOBA HOUSE,98003,"MELODY BOBA HOUSE, 31406 PACIFIC HWY S STE A, FEDERAL WAY, WA, 98003",ChIJDwwynThXkFQRDkW9HIo3smg,Melody Boba House – Bubble Tea • Shaved Ice • Bubble Waffles,"31406 Pacific Hwy S, Federal Way, WA 98003, United States",https://maps.google.com/?cid=7544153392126182670,https://melodyboba-federalway.com/,4.2,465.0,1.0,5,5,OK,OK,1,
BID|PR0087843,bobae,Bobae,MilkTea,BOBAE COFFEE & TEA,98027,"BOBAE COFFEE & TEA, 240 NW GILMAN BL STE 5, ISSAQUAH, WA, 98027",ChIJ9zwi7tFvkFQRDYXm2Jn-J6U,Bobae Coffee & Tea,"240 NW Gilman Blvd #5, Issaquah, WA 98027, United States",https://maps.google.com/?cid=11900760477072262413,https://www.bobaeusa.com/,4.7,216.0,2.0,5,5,OK,OK,1,
BID|PR0090707,bobae,Bobae,MilkTea,BOBAE COFFEE & TEA,98052,"BOBAE COFFEE & TEA, 14676 NE 95TH ST, REDMOND, WA, 98052",ChIJo1_GBT0TkFQR-bh2bHIcP6U,Bobae Coffee & Tea,"Vela, 168 Lake St S, Kirkland, WA 98033, United States",https://maps.google.com/?cid=11907267217562450169,http://www.bobaeusa.com/,4.7,347.0,2.0,5,5,OK,OK,1,
BID|PR0092154,bobae,Bobae,MilkTea,BOBAE COFFEE AND TEA,98052,"BOBAE COFFEE AND TEA, 15745 NE 36TH ST, REDMOND, WA, 98052",ChIJM_BwJgBtkFQRfUUMe70VWBU,Bobae Coffee & Tea,"15885 NE 36th St, Redmond, WA 98052, United States",https://maps.google.com/?cid=1538003176304428413,,4.5,13.0,,5,5,OK,OK,1,
BID|PR0020889,bobae,Bobae,MilkTea,BOBAE USA DBA BOBAE COFFEE & TEA,98072,"BOBAE USA DBA BOBAE COFFEE & TEA, 14015 NE WOODINVILLE DUVAL RD, WOODINVILLE, WA, 98072",ChIJLVoWr_sNkFQR2mqkYv73MCY,Bobae Coffee & Tea,"14015 NE Woodinville Duvall Rd, Woodinville, WA 98072, United States",https://maps.google.com/?cid=2751972044272069338,http://www.bobaeusa.com/,4.7,844.0,2.0,5,5,OK,OK,1,
BID|PR0090145,bobae,Bobae,MilkTea,Bobae Coffee & Tea,98033,"Bobae Coffee & Tea, 168 LAKE ST S, KIRKLAND, WA, 98033",ChIJo1_GBT0TkFQR-bh2bHIcP6U,Bobae Coffee & Tea,"Vela, 168 Lake St S, Kirkland, WA 98033, United States",https://maps.google.com/?cid=11907267217562450169,http://www.bobaeusa.com/,4.7,347.0,2.0,5,5,OK,OK,1,
BID|PR0079741,bobalust,Bobalust,MilkTea,BOBALUST,98003,"BOBALUST, 1770 S 320th ST, FEDERAL WAY, WA, 98003",ChIJRaiESbZXkFQRwxWbyPqXYbE,BobaLust Tea Bar,"1770 S 320th St, Federal Way, WA 98003, United States",https://maps.google.com/?cid=12781664320817403331,http://bobalustteahouse.com/,4.1,128.0,,5,5,OK,OK,1,
