week_start,trend_index_raw
2021-02-21,12.75
2021-02-28,14.0
2021-03-07,15.0
2021-03-14,13.5
2021-03-21,14.25
2021-03-28,15.0
2021-04-04,14.5
2021-04-11,16.0
2021-04-18,16.25
2021-04-25,16.5
2021-05-02,16.5
2021-05-09,15.75
2021-05-16,16.5
2021-05-23,17.75
2021-05-30,18.5
2021-06-06,14.5
2021-06-13,14.75
2021-06-20,17.25
2021-06-27,19.25
2021-07-04,18.5
2021-07-11,18.25
2021-07-18,17.25
2021-07-25,15.5
2021-08-01,14.75
2021-08-08,17.5
2021-08-15,15.75
2021-08-22,15.75
2021-08-29,14.25
2021-09-05,12.0
2021-09-12,11.75
2021-09-19,12.25
2021-09-26,11.75
2021-10-03,11.5
2021-10-10,12.5
2021-10-17,11.0
2021-10-24,11.0
2021-10-31,10.0
2021-11-07,10.0
2021-11-14,9.0
2021-11-21,9.75
2021-11-28,9.25
2021-12-05,8.75
2021-12-12,11.75
2021-12-19,12.0
2021-12-26,10.25
2022-01-02,9.25
2022-01-09,12.5
2022-01-16,14.5
2022-01-23,12.5
2022-01-30,13.0
2022-02-06,13.75
2022-02-13,12.5
2022-02-20,15.75
2022-02-27,13.75
2022-03-06,13.25
2022-03-13,15.0
2022-03-20,14.5
2022-03-27,16.0
2022-04-03,16.5
2022-04-10,16.25
2022-04-17,14.25
2022-04-24,17.25
2022-05-01,15.0
2022-05-08,15.75
2022-05-15,14.0
2022-05-22,12.25
2022-05-29,14.75
2022-06-05,13.75
2022-06-12,12.75
2022-06-19,16.5
2022-06-26,14.0
2022-07-03,15.0
2022-07-10,17.5
2022-07-17,16.75
2022-07-24,16.75
2022-07-31,16.25
2022-08-07,14.0
2022-08-14,14.5
2022-08-21,13.75
2022-08-28,13.0
2022-09-04,14.0
2022-09-11,13.0
2022-09-18,12.0
2022-09-25,12.25
2022-10-02,11.75
2022-10-09,10.75
2022-10-16,9.5
2022-10-23,9.0
2022-10-30,8.25
2022-11-06,8.0
2022-11-13,9.0
2022-11-20,10.75
2022-11-27,9.25
