store_id,brand_id,shop_key,store_name,trade_name,business_legal_name,street_address,city,zip5,license_start_year,brand,origin_region,primary_beverage_category,hero_products,positioning,business_model,evidence_url,store_key_norm,shop_name_input,place_id,matched_google_url,website_url,google_rating,google_user_ratings_total,google_price_level,review_snippet_count,extracted_review_rows,fetch_ok,error,review_count,source_count,avg_rating,date_min,date_max
BID|PR0091735,32_below_bubble_tea,BID|PR0091735,32 BELOW SOFT SERVE + BUBBLE TEA,32 BELOW SOFT SERVE + BUBBLE TEA,32 BELOW SOFT SERVE + BUBBLE TEA,17054 116TH AVE SE,RENTON,98058,2024.0,32 Below Bubble Tea,Local/Regional,MilkTea,bubble tea/soft serve,Dessert plus bubble tea hybrid,Independent,,32BELOWSOFTSERVEBUBBLETEA,32 BELOW SOFT SERVE + BUBBLE TEA,ChIJX0m-TuJdkFQRyj_Tl1Wmt4g,https://maps.google.com/?cid=9851525596445884362,https://www.32belowsoftserve.com/,4.6,97.0,1.0,5,5,1,,5,1.0,4.6,2024-07-21,2026-02-02
BID|PR0089601,angel_boba,BID|PR0089601,ANGEL BOBA & SANDWICHES,ANGEL BOBA & SANDWICHES,ANGEL BOBA & SANDWICHES,2 B ST SE,AUBURN,98002,2021.0,Angel Boba,Local/Regional,MilkTea,boba/sandwich combo,Sandwich plus bubble tea hybrid,Independent,,ANGELBOBASANDWICHES,ANGEL BOBA & SANDWICHES,ChIJZfyrSlFZkFQRFkK2X7ceuJc,https://maps.google.com/?cid=10932521868375507478,https://angelboba-sandwich.com/?utm_source=google,4.6,129.0,,5,5,1,,10,2.0,4.6,2021-04-06,2026-02-07
BID|PR0091879,boba_house,BID|PR0091879,BOBA HOUSE,BOBA HOUSE,BOBA HOUSE,14359 15TH AVE NE,SEATTLE,98125,2024.0,Boba House,Local/Regional,MilkTea,boba drinks,Neighborhood boba concept,Independent,,BOBAHOUSE,BOBA HOUSE,ChIJaSHoqvsRkFQRTyl-5aOX_v4,https://maps.google.com/?cid=18374290259903916367,https://www.clover.com/online-ordering/boba-house-seattle,4.6,135.0,1.0,5,5,1,,21,4.0,3.809090909090909,2024-08-11,2025-12-20
BID|PR0088039,boba_house,BID|PR0088039,MELODY BOBA HOUSE,MELODY BOBA HOUSE,MELODY BOBA HOUSE,31406 PACIFIC HWY S STE A,FEDERAL WAY,98003,2023.0,Boba House,Local/Regional,MilkTea,boba drinks,Neighborhood boba concept,Independent,,MELODYBOBAHOUSE,MELODY BOBA HOUSE,ChIJDwwynThXkFQRDkW9HIo3smg,https://maps.google.com/?cid=7544153392126182670,https://melodyboba-federalway.com/,4.2,465.0,1.0,5,5,1,,10,2.0,4.6,2023-10-22,2026-02-10
BID|PR0087843,bobae,BID|PR0087843,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,240 NW GILMAN BL STE 5,ISSAQUAH,98027,2024.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEETEA,BOBAE COFFEE & TEA,ChIJ9zwi7tFvkFQRDYXm2Jn-J6U,https://maps.google.com/?cid=11900760477072262413,https://www.bobaeusa.com/,4.7,216.0,2.0,5,5,1,,25,2.0,4.416666666666666,2024-04-14,2026-02-16
BID|PR0090707,bobae,BID|PR0090707,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,14676 NE 95TH ST,REDMOND,98052,2022.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEETEA,BOBAE COFFEE & TEA,ChIJo1_GBT0TkFQR-bh2bHIcP6U,https://maps.google.com/?cid=11907267217562450169,http://www.bobaeusa.com/,4.7,347.0,2.0,5,5,1,,25,2.0,4.416666666666666,2024-04-14,2026-02-16
BID|PR0092154,bobae,BID|PR0092154,BOBAE COFFEE AND TEA,BOBAE COFFEE AND TEA,BOBAE COFFEE AND TEA,15745 NE 36TH ST,REDMOND,98052,2025.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEEANDTEA,BOBAE COFFEE AND TEA,ChIJM_BwJgBtkFQRfUUMe70VWBU,https://maps.google.com/?cid=1538003176304428413,,4.5,13.0,,5,5,1,,5,1.0,4.2,2025-07-29,2026-02-12
BID|PR0020889,bobae,BID|PR0020889,BOBAE USA DBA BOBAE COFFEE & TEA,BOBAE USA DBA BOBAE COFFEE & TEA,BOBAE USA DBA BOBAE COFFEE & TEA,14015 NE WOODINVILLE DUVAL RD,WOODINVILLE,98072,2019.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAEUSADBABOBAECOFFEETEA,BOBAE USA DBA BOBAE COFFEE & TEA,ChIJLVoWr_sNkFQR2mqkYv73MCY,https://maps.google.com/?cid=2751972044272069338,http://www.bobaeusa.com/,4.7,844.0,2.0,5,5,1,,5,1.0,5.0,2025-04-24,2026-02-03
BID|PR0090145,bobae,BID|PR0090145,Bobae Coffee & Tea,Bobae Coffee & Tea,Bobae Coffee & Tea,168 LAKE ST S,KIRKLAND,98033,2022.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEETEA,Bobae Coffee & Tea,ChIJo1_GBT0TkFQR-bh2bHIcP6U,https://maps.google.com/?cid=11907267217562450169,http://www.bobaeusa.com/,4.7,347.0,2.0,5,5,1,,25,2.0,4.416666666666666,2024-04-14,2026-02-16
BID|PR0065136,bobalust,BID|PR0065136,BOBALUST,BOBALUST,BOBALUST,116 SW 148TH ST ,BURIEN,98166,2021.0,Bobalust,Local/Regional,MilkTea,boba milk tea,Multi-city boba tea chain in King County,Independent chain,,BOBALUST,BOBALUST,ChIJq0XB9g5DkFQRtV37mxuvgPw,https://maps.google.com/?cid=18194735027692723637,http://bobalustteahouse.com/,4.2,115.0,,5,5,1,,25,1.0,4.4,2021-10-03,2026-02-08
