year,shops_started,zip5,rolling3_started
2016,0,98002,0.0
2017,0,98002,0.0
2018,0,98002,0.0
2019,0,98002,0.0
2020,0,98002,0.0
2021,1,98002,0.3333333333333333
2022,0,98002,0.3333333333333333
2023,0,98002,0.3333333333333333
2024,1,98002,0.3333333333333333
2025,0,98002,0.3333333333333333
2016,0,98003,0.0
2017,0,98003,0.0
2018,0,98003,0.0
2019,0,98003,0.0
2020,1,98003,0.3333333333333333
2021,0,98003,0.3333333333333333
2022,0,98003,0.3333333333333333
2023,1,98003,0.3333333333333333
2024,1,98003,0.6666666666666666
2025,0,98003,0.6666666666666666
2016,0,98030,0.0
2017,0,98030,0.0
2018,0,98030,0.0
2019,1,98030,0.3333333333333333
2020,0,98030,0.3333333333333333
2021,0,98030,0.3333333333333333
2022,0,98030,0.0
2023,0,98030,0.0
2024,0,98030,0.0
2025,0,98030,0.0
2016,0,98052,0.0
2017,0,98052,0.0
2018,0,98052,0.0
2019,0,98052,0.0
2020,0,98052,0.0
2021,1,98052,0.3333333333333333
2022,2,98052,1.0
2023,1,98052,1.3333333333333333
2024,0,98052,1.0
2025,2,98052,1.0
2016,0,98058,0.0
2017,0,98058,0.0
2018,0,98058,0.0
2019,0,98058,0.0
2020,0,98058,0.0
2021,0,98058,0.0
2022,0,98058,0.0
2023,0,98058,0.0
2024,1,98058,0.3333333333333333
2025,0,98058,0.3333333333333333
2016,0,98115,0.0
2017,0,98115,0.0
2018,0,98115,0.0
2019,0,98115,0.0
2020,0,98115,0.0
2021,0,98115,0.0
2022,1,98115,0.3333333333333333
2023,0,98115,0.3333333333333333
2024,0,98115,0.3333333333333333
2025,0,98115,0.0
2016,0,98118,0.0
2017,0,98118,0.0
2018,0,98118,0.0
2019,0,98118,0.0
2020,0,98118,0.0
2021,0,98118,0.0
2022,1,98118,0.3333333333333333
2023,0,98118,0.3333333333333333
2024,0,98118,0.3333333333333333
2025,0,98118,0.0
2016,0,98122,0.0
2017,0,98122,0.0
2018,0,98122,0.0
2019,1,98122,0.3333333333333333
2020,1,98122,0.6666666666666666
2021,0,98122,0.6666666666666666
2022,0,98122,0.3333333333333333
2023,0,98122,0.0
2024,1,98122,0.3333333333333333
2025,3,98122,1.3333333333333333
2016,0,98125,0.0
2017,0,98125,0.0
2018,0,98125,0.0
2019,0,98125,0.0
2020,0,98125,0.0
2021,0,98125,0.0
2022,0,98125,0.0
2023,0,98125,0.0
2024,1,98125,0.3333333333333333
2025,0,98125,0.3333333333333333
2016,0,98133,0.0
2017,0,98133,0.0
2018,0,98133,0.0
2019,0,98133,0.0
2020,0,98133,0.0
2021,0,98133,0.0
2022,0,98133,0.0
2023,0,98133,0.0
2024,0,98133,0.0
2025,2,98133,0.6666666666666666
