store_id,store_name,brand,city,zip5,review_rank,review_date,rating,source_platform,reviewer_alias,source_url,review_text,review_text_short
BID|PR0003636,SHARETEA CHINATOWN,Sharetea,SEATTLE,98104,1,2026-01-03,1.0,Google Places API (official),KATHRYN MACARAEG,https://maps.google.com/?cid=16986024046177564421,"Very disappointed. I was charged $0.75 extra for boba, and this is all I got. Definitely not worth the extra charge.","Very disappointed. I was charged $0.75 extra for boba, and this is all I got. Definitely not worth the extra charge."
BID|PR0003636,SHARETEA CHINATOWN,Sharetea,SEATTLE,98104,2,2025-12-21,2.0,Google Places API (official),D. K.,https://maps.google.com/?cid=16986024046177564421,Gone down in quality since last time I visited. Boba was inconsistent -- some were rubbery hard (undercooked). Tea itself was decent though.,Gone down in quality since last time I visited. Boba was inconsistent -- some were rubbery hard (undercooked). Tea itself was decent though.
BID|PR0003636,SHARETEA CHINATOWN,Sharetea,SEATTLE,98104,3,2025-11-29,5.0,Yelp snippet via MapQuest (auto),Brannon T.,https://www.mapquest.com/us/washington/sharetea-516547285,A nice boba shop. Small place but they use the space well. Enough places to sit. We had 4 people with us. Our drinks came out quick. They were delicious! The staff were friendly. Someone spilled...,A nice boba shop. Small place but they use the space well. Enough places to sit. We had 4 people with us. Our drinks came out quick. They were delicious! The staff were friendly. Someone spilled...
BID|PR0004561,HAPPY LEMON - TUKWILA,Happy Lemon,TUKWILA,98188,1,2026-02-03,4.0,Yelp snippet via MapQuest (auto),Timothy O.,https://www.mapquest.com/us/washington/happy-lemon-424645831,"If you are a visitor and have a boba craving and don't want to be disappointed or try other shops and not sure if it would be good. This place is the place. Always consistent and yummy, I took one...","If you are a visitor and have a boba craving and don't want to be disappointed or try other shops and not sure if it would be good. This place is the place. Always consistent and yummy, I took one..."
BID|PR0004561,HAPPY LEMON - TUKWILA,Happy Lemon,TUKWILA,98188,2,2025-12-22,5.0,Google Places API (official),Mara Cipri,https://maps.google.com/?cid=1797469120333164324,Staff are nice and accommodating. The place is a nice hangout spot. Me and a couple of family members played Jenga to burn some time. They are very prompt in helping us clean up when we spilled some milk tea and offered to replace it which we declined but very grateful of the offer. Highly recommended.,Staff are nice and accommodating. The place is a nice hangout spot. Me and a couple of family members played Jenga to burn some time. They are very prompt in helping us clean up when we spilled some milk tea and offered 
BID|PR0004561,HAPPY LEMON - TUKWILA,Happy Lemon,TUKWILA,98188,3,2025-12-21,2.0,Google Places API (official),Ella Dang,https://maps.google.com/?cid=1797469120333164324,"Ordered milk tea with oreo and cream puff. Came with almost invisible cream puff and oreo cookies. Additionally, boba is very hard to chew, clearly old boba. Highly would not recommend.","Ordered milk tea with oreo and cream puff. Came with almost invisible cream puff and oreo cookies. Additionally, boba is very hard to chew, clearly old boba. Highly would not recommend."
BID|PR0011020,TEEWS,Teews Barkery,SHORELINE,98133,1,2025-12-29,5.0,Google Places API (official),Sandy C,https://maps.google.com/?cid=10267443461854527839,Can get pretty busy but the pineapple bun egg tart is worth the wait! The staff is super nice and tries their best to get things out as quickly as possible without losing quality! They also have unique tea combos. Def coming back!,Can get pretty busy but the pineapple bun egg tart is worth the wait! The staff is super nice and tries their best to get things out as quickly as possible without losing quality! They also have unique tea combos. Def co
BID|PR0011020,TEEWS,Teews Barkery,SHORELINE,98133,2,2025-12-03,5.0,Google Places API (official),Tyna D,https://maps.google.com/?cid=10267443461854527839,I been craving for something refreshing to drink. I happened to search up this small milk tea shop since I was in the area. My husband and I both order the XiangShui Lemon tea. It tasted so fresh ứng and delicious. Very unique lemon with a sweet fragrant taste. I was amazed. We will be back.,I been craving for something refreshing to drink. I happened to search up this small milk tea shop since I was in the area. My husband and I both order the XiangShui Lemon tea. It tasted so fresh ứng and delicious. Very 
BID|PR0011020,TEEWS,Teews Barkery,SHORELINE,98133,3,2025-10-21,4.0,Yelp snippet via MapQuest (auto),Vinh M.,https://www.mapquest.com/us/washington/teews-776190684,"I vaguely remembered that this place sells pineapple bun egg waffles, but with a little bit of a wait time and even worse if too many people get it at once. If you do make the drive here, it's a...","I vaguely remembered that this place sells pineapple bun egg waffles, but with a little bit of a wait time and even worse if too many people get it at once. If you do make the drive here, it's a..."
BID|PR0013093,WOODINVILLE BAGEL BOBA,Independent/Other,WOODINVILLE,98072,1,2026-02-12,5.0,Google Places API (official),Kali Davis,https://maps.google.com/?cid=4339279319608294625,"Fantastic bagels, wide variety of flavors! Both in bagels and cream cheese. Love coming here for a fresh made bagel breakfast sandwich. Spam egg and cheese all day!","Fantastic bagels, wide variety of flavors! Both in bagels and cream cheese. Love coming here for a fresh made bagel breakfast sandwich. Spam egg and cheese all day!"
