zip5,active_shop_count,population,median_income,median_gross_rent,median_home_value,young_adult_share,supply_per_10k,demand_score,supply_score,gap_score,regional_cost_score,regional_feasibility_score,city_trend_index,quadrant,momentum_score,text_signal_score,top_topic_terms,median_google_price_level,store_cost_score,store_affordability_score,store_cost_coverage,gap_component_score,feasibility_score,opportunity_score,rank,recommended_strategy,action_note,review_count,mean_sentiment,positive_share,negative_share,avg_rating,topic_terms,topic_share,topic_count,substitute_store_count,coffee_store_count,matcha_store_count,vietnamese_coffee_store_count,starbucks_flag_count,top1_freq_pct,top5_freq_pct,is_top10,opportunity_tier
98133,2,52620,92371,1794.0,719100.0,0.0452299505891296,0.3800836183960471,79.49627292803842,5.075624540689358,74.42064838734906,36.26063442746954,63.73936557253046,11.493644067796607,HighDemand_LowSupply,29.41176470588235,84.82142857142857,"tea, boba, milk, bubble, place",,0.0,100.0,0.0,94.74697345293472,76.4305876221448,74.71396016465626,1,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,8.0,0.6964285714285714,0.875,0.125,4.25,"tea, boba, milk, bubble, place",0.875,7.0,15.0,15.0,0.0,1.0,4.0,91.03333333333332,100.0,True,Tier A
98122,6,42001,106479,1991.0,929400.0,0.1468298373848241,1.4285374157758148,82.0839624859414,27.476292465961055,54.60767001998035,48.2450711272503,51.7549288727497,11.493644067796607,HighDemand_HighSupply,47.058823529411754,81.26348188848189,"tea, boba, milk, bubble, place",1.0,0.0,100.0,0.5,79.080543499823,68.6407037672873,72.608134313325,2,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,24.0,0.6252696377696377,0.875,0.0833333333333333,4.166666666666667,"tea, boba, milk, bubble, place",0.875,21.0,40.0,40.0,1.0,0.0,2.0,8.0,99.16666666666669,True,Tier A
98003,3,52210,70800,1650.0,428500.0,0.051522696801379,0.5746025665581306,79.83072151336185,10.141558788342795,69.68916272501906,23.82244314615981,76.1775568538402,11.493644067796607,HighDemand_HighSupply,14.705882352941176,73.63095238095238,"tea, boba, milk, bubble, place",1.0,0.0,100.0,0.6666666666666666,91.00571419707606,84.51541195499613,71.8702082021048,3,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,12.0,0.4726190476190476,0.75,0.1666666666666666,4.0,"tea, boba, milk, bubble, place",0.8333333333333334,10.0,21.0,21.0,0.0,2.0,4.0,0.0333333333333333,99.93333333333332,True,Tier A
98118,1,49560,109085,1831.0,746400.0,0.0472356739305891,0.2017756255044391,77.52754906449871,0.1378134805424037,77.38973558395631,38.18375213858459,61.81624786141541,11.493644067796607,HighDemand_LowSupply,5.882352941176469,98.07692307692308,"tea, boba, milk, bubble, place",1.0,0.0,100.0,1.0,97.09467684855022,75.18056110992002,71.8251874798735,4,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,4.0,0.9615384615384616,1.0,0.0,4.75,"tea, boba, milk, bubble, place",0.5,2.0,24.0,24.0,0.0,0.0,2.0,0.6,97.36666666666667,True,Tier A
98115,1,54248,148190,2118.0,1041500.0,0.0493474413803273,0.1843385931278572,81.06403182899562,0.0,81.06403182899562,55.340315888445154,44.659684111554846,11.493644067796607,HighDemand_LowSupply,5.882352941176469,67.0940170940171,"tea, boba, milk, bubble, place",1.0,0.0,100.0,1.0,100.0,64.02879467251066,68.21308955602262,5,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,4.0,0.3418803418803419,0.75,0.25,3.5,"tea, boba, milk, bubble, place",0.75,3.0,23.0,25.0,0.0,0.0,2.0,0.0,61.03333333333333,True,Tier A
98052,9,79074,164848,2339.0,1107900.0,0.0529377545084351,1.1381743683132255,99.02380339711046,35.767074597635336,63.25672879947512,64.2296790448233,35.7703209551767,11.493644067796607,HighDemand_HighSupply,5.882352941176471,50.0,,1.0,0.0,100.0,0.5555555555555556,85.91948871123373,58.250708620864856,66.85667885317233,6,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,0.0,,,,,,,,38.0,37.0,1.0,0.0,7.0,0.0666666666666666,13.766666666666666,True,Tier A
98058,1,41980,111045,2015.0,627200.0,0.0528823249166269,0.2382086707956169,72.71576636787887,0.4257618349355263,72.29000453294334,40.89638707140825,59.10361292859175,11.493644067796607,HighDemand_LowSupply,20.588235294117645,50.0,,1.0,0.0,100.0,1.0,93.0622402401306,73.41734840358464,66.80944432375567,7,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,0.0,,,,,,,,7.0,7.0,0.0,0.0,3.0,0.0,5.466666666666667,True,Tier A
98125,2,43807,96725,1856.0,844500.0,0.0555847239025726,0.4565480402675372,74.27921652987825,5.679960639183122,68.59925589069513,41.62350547112106,58.37649452887894,11.493644067796607,HighDemand_LowSupply,20.588235294117645,50.0,,1.0,0.0,100.0,0.5,90.14390792248408,72.94472144377131,66.42310189774119,8,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,0.0,,,,,,,,8.0,8.0,0.0,0.0,2.0,0.0,0.0,True,Tier A
98030,1,38492,91218,1797.0,540100.0,0.0657539228930687,0.259794242959576,71.5230771216176,0.596363274743006,70.92671384687459,31.547253313292437,68.45274668670757,11.493644067796607,HighDemand_LowSupply,11.764705882352938,50.0,,,0.0,100.0,0.0,91.98426510469103,79.49428534635993,65.92138493949768,9,Expansion Strategy,Strong demand and lower saturation: prioritize pilot store and local digital acquisition.,0.0,,,,,,,,9.0,9.0,0.0,0.0,3.0,0.0,0.0333333333333333,True,Tier A
98002,2,37284,77714,1613.0,397700.0,0.0568608518399313,0.5364231305653899,69.78034457620822,6.311252935076871,63.46909164113135,21.805278455932076,78.19472154406793,11.493644067796607,HighDemand_LowSupply,14.705882352941176,50.0,,1.0,0.0,100.0,0.5,86.08740731093961,85.82656900364415,65.72566210980204,10,Selective Growth Strategy,Moderate opportunity: test low-risk campaigns and monitor momentum before scaling.,0.0,,,,,,,,14.0,15.0,0.0,0.0,3.0,0.0,4.166666666666666,True,Tier A
